2,1,0.933094
9,1,0.685120
11,1,0.668754
15,1,0.194199
17,1,0.919986
22,1,0.114248
23,1,0.985287
26,1,0.698043
27,1,0.213733
36,1,0.800133
37,1,1.119336
42,1,0.558937
44,1,0.182179
49,1,0.848761
50,1,0.802666
52,1,0.260295
54,1,0.399510
55,1,0.753886
58,1,0.221869
59,1,0.303708
60,1,0.344139
61,1,0.473644
63,1,0.188777
64,1,0.137203
66,1,0.115819
1,2,0.933094
3,2,0.433116
4,2,0.276597
5,2,0.284451
6,2,0.412038
10,2,0.537229
12,2,0.155143
13,2,0.340331
19,2,0.232586
23,2,0.066795
26,2,0.239705
28,2,0.366237
29,2,0.307946
30,2,0.366196
33,2,0.347963
34,2,0.049761
37,2,0.190320
41,2,0.266011
45,2,0.281705
53,2,0.430895
55,2,0.179545
61,2,0.459693
62,2,0.458895
2,3,0.433116
6,3,0.043071
8,3,0.172993
9,3,0.616431
10,3,0.155903
11,3,0.682183
12,3,0.474913
13,3,0.150082
14,3,0.223217
16,3,0.337224
23,3,0.470155
24,3,0.396451
26,3,0.201864
29,3,0.167303
31,3,0.710536
33,3,0.108535
34,3,0.482821
36,3,0.764159
37,3,0.601619
43,3,0.264411
45,3,0.151627
46,3,0.428491
50,3,0.738257
51,3,0.198741
53,3,0.005313
55,3,0.266481
56,3,0.341626
61,3,0.167660
62,3,0.066051
2,4,0.276597
5,4,0.012800
7,4,0.350011
12,4,0.125935
19,4,0.118570
21,4,0.569971
23,4,0.223845
26,4,0.387466
28,4,0.642367
30,4,0.122227
31,4,0.341067
33,4,0.468926
34,4,0.286256
35,4,0.429732
37,4,0.245793
40,4,0.331034
41,4,0.542476
45,4,0.378582
48,4,0.607855
51,4,0.506109
55,4,0.363468
61,4,0.605631
67,4,0.640455
2,5,0.284451
4,5,0.012800
7,5,0.353325
12,5,0.131938
19,5,0.131355
21,5,0.567491
23,5,0.230009
26,5,0.399826
28,5,0.649665
30,5,0.125954
31,5,0.337486
33,5,0.481665
34,5,0.292262
35,5,0.427833
37,5,0.244918
40,5,0.335166
41,5,0.550021
45,5,0.391329
48,5,0.605326
51,5,0.518415
55,5,0.375154
61,5,0.618338
65,5,0.642212
67,5,0.637000
2,6,0.412038
3,6,0.043071
8,6,0.211613
9,6,0.574757
10,6,0.198934
11,6,0.642204
12,6,0.467220
13,6,0.164316
14,6,0.259421
16,6,0.294423
23,6,0.453809
24,6,0.355271
26,6,0.174673
29,6,0.174031
31,6,0.693886
33,6,0.071637
34,6,0.461369
36,6,0.722238
37,6,0.586935
43,6,0.303315
45,6,0.135806
46,6,0.388335
50,6,0.695927
51,6,0.156758
53,6,0.046190
55,6,0.239123
56,6,0.298618
61,6,0.132168
62,6,0.108470
4,7,0.350011
5,7,0.353325
8,7,0.339445
10,7,0.417258
12,7,0.454388
14,7,0.284627
21,7,0.919824
23,7,0.538728
30,7,0.227784
31,7,0.690794
35,7,0.779115
37,7,0.594183
40,7,0.029449
43,7,0.266959
47,7,0.132804
48,7,0.957730
62,7,0.446799
67,7,0.990297
3,8,0.172993
6,8,0.211613
7,8,0.339445
9,8,0.784711
10,8,0.092336
11,8,0.853793
13,8,0.135672
14,8,0.054819
16,8,0.500823
